CustomerID,Name,STATE,ZIP,Email
1,Customer_001,TX,10222,user1@example.com
2,Customer_002,GA,10592,user2@example.com
3,Customer_003,WA,10703,user3@example.com
4,Customer_004,FL,10111,user4@example.com
5,Customer_005,NY,10148,user5@example.com
6,Customer_006,NY,10814,user6@example.com
7,Customer_007,NY,10222,user7@example.com
8,Customer_008,MA,10444,user8@example.com
9,Customer_009,FL,10518,user9@example.com
10,Customer_010,WA,10370,user10@example.com
11,Customer_011,NY,10111,user11@example.com
12,Customer_012,GA,10444,user12@example.com
13,Customer_013,IL,10222,user13@example.com
14,Customer_014,CA,10666,user14@example.com
15,Customer_015,NY,10777,user15@example.com
16,Customer_016,NY,10037,user16@example.com
17,Customer_017,CA,10333,user17@example.com
18,Customer_018,FL,10444,user18@example.com
19,Customer_019,TX,10888,user19@example.com
20,Customer_020,CA,10740,user20@example.com
21,Customer_021,FL,10185,user21@example.com
22,Customer_022,NY,10407,user22@example.com
23,Customer_023,CA,10407,user23@example.com
24,Customer_024,TX,10703,user24@example.com
25,Customer_025,TX,10370,user25@example.com
26,Customer_026,IL,10814,user26@example.com
27,Customer_027,NY,10888,user27@example.com
28,Customer_028,FL,10222,user28@example.com
29,Customer_029,FL,10000,user29@example.com
30,Customer_030,NY,10000,user30@example.com
31,Customer_031,FL,10888,user31@example.com
32,Customer_032,NY,10888,user32@example.com
33,Customer_033,NY,10703,user33@example.com
34,Customer_034,GA,10444,user34@example.com
35,Customer_035,GA,10296,user35@example.com
36,Customer_036,IL,10074,user36@example.com
37,Customer_037,CA,10222,user37@example.com
38,Customer_038,NY,10185,user38@example.com
39,Customer_039,WA,10259,user39@example.com
40,Customer_040,TX,10296,user40@example.com
41,Customer_041,NY,10148,user41@example.com
42,Customer_042,TX,10000,user42@example.com
43,Customer_043,NY,10666,user43@example.com
44,Customer_044,MA,10333,user44@example.com
45,Customer_045,CA,10407,user45@example.com
46,Customer_046,WA,10851,user46@example.com
47,Customer_047,CA,10518,user47@example.com
48,Customer_048,FL,10777,user48@example.com
49,Customer_049,FL,10851,user49@example.com
50,Customer_050,NY,10296,user50@example.com
51,Customer_051,GA,10703,user51@example.com
52,Customer_052,IL,10592,user52@example.com
53,Customer_053,GA,10592,user53@example.com
54,Customer_054,MA,10703,user54@example.com
55,Customer_055,FL,10407,user55@example.com
56,Customer_056,MA,10222,user56@example.com
57,Customer_057,NY,10037,user57@example.com
58,Customer_058,NY,10074,user58@example.com
59,Customer_059,NY,10592,user59@example.com
60,Customer_060,CA,10148,user60@example.com
61,Customer_061,TX,10592,user61@example.com
62,Customer_062,CA,10851,user62@example.com
63,Customer_063,IL,10592,user63@example.com
64,Customer_064,TX,10592,user64@example.com
65,Customer_065,CA,10037,user65@example.com
66,Customer_066,FL,10037,user66@example.com
67,Customer_067,NY,10777,user67@example.com
68,Customer_068,IL,10814,user68@example.com
69,Customer_069,NY,10148,user69@example.com
70,Customer_070,GA,10000,user70@example.com
71,Customer_071,IL,10000,user71@example.com
72,Customer_072,NY,10666,user72@example.com
73,Customer_073,NY,10037,user73@example.com
74,Customer_074,IL,10740,user74@example.com
75,Customer_075,WA,10407,user75@example.com
76,Customer_076,WA,10185,user76@example.com
77,Customer_077,IL,10814,user77@example.com
78,Customer_078,NY,10111,user78@example.com
79,Customer_079,TX,10814,user79@example.com
80,Customer_080,NY,10370,user80@example.com
81,Customer_081,MA,10851,user81@example.com
82,Customer_082,FL,10592,user82@example.com
83,Customer_083,CA,10185,user83@example.com
84,Customer_084,NY,10851,user84@example.com
85,Customer_085,CA,10148,user85@example.com
86,Customer_086,CA,10703,user86@example.com
87,Customer_087,WA,10037,user87@example.com
88,Customer_088,FL,10185,user88@example.com
89,Customer_089,MA,10777,user89@example.com
90,Customer_090,TX,10370,user90@example.com
91,Customer_091,NY,10555,user91@example.com
92,Customer_092,WA,10555,user92@example.com
93,Customer_093,IL,10000,user93@example.com
94,Customer_094,FL,10296,user94@example.com
95,Customer_095,IL,10185,user95@example.com
96,Customer_096,TX,10555,user96@example.com
97,Customer_097,FL,10074,user97@example.com
98,Customer_098,TX,10703,user98@example.com
99,Customer_099,NY,10111,user99@example.com
100,Customer_100,NY,10666,user100@example.com
